DESIGNATOR,QTY,MANUFACTURER,VALUE,FOOTPRINT,MPN,DESCRIPTION,MOUNT TYPE
C1,1,,DNP,C_0402_1005Metric,,,smt
"C10, C4, C5, C9",4,,100n,C_0402_1005Metric,,MLCC 0402 25V X7S/R,smt
"C2, C3, C7, C8",4,,2u2,C_0402_1005Metric,,MLCC 0402 25V X7S/R,smt
C6,1,,DNP,C_0402_1005Metric,,,smt
J1,1,HIROSE,BK13C06-10DP/2-0.35V(895),Hirose_BK13C06-10DP_2x06_P0.35mm,BK13C06-10DP/2-0.35V(895),CON,smt
"L1, L2",2,TDK,MLZ1005M1R0WT000,L_0402_1005Metric,MLZ1005M1R0WT000,1uH INDUCTOR,smt
"R1, R5",2,,0R,R_0402_1005Metric,,RESISTOR 1% 0402,smt
"U1, U3",2,TEXAS INSTRUMENTS,LP2980AIM5X-3.0/NOPB,SOT-23-5,,3V FIXED LDO,smt
"U2, U4",2,BOSCH SENSORTEC,BMI088,bmi088,BMI088,IMU,smt
