pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
144.9,-78.6,180.0,bottom,C1,,,C_0402_1005Metric,DNP,smt
184.75,-113.4,180.0,bottom,C10,,,C_0402_1005Metric,100n,smt
144.9,-79.5,180.0,bottom,C2,,,C_0402_1005Metric,2u2,smt
145.3,-73.6,0.0,bottom,C3,,,C_0402_1005Metric,2u2,smt
143.52,-73.6,0.0,bottom,C4,,,C_0402_1005Metric,100n,smt
142.25,-69.0,90.0,bottom,C5,,,C_0402_1005Metric,100n,smt
186.25,-106.8,0.0,bottom,C6,,,C_0402_1005Metric,DNP,smt
186.25,-107.8,0.0,bottom,C7,,,C_0402_1005Metric,2u2,smt
186.625,-113.725,0.0,bottom,C8,,,C_0402_1005Metric,2u2,smt
184.75,-114.35,180.0,bottom,C9,,,C_0402_1005Metric,100n,smt
140.0,-72.0,0.0,top,H1,,,Mounting_Wuerth_WA-SMSI-M2_H1mm_9774010243,MountingHole,smt
190.0,-116.0,0.0,top,H2,,,Mounting_Wuerth_WA-SMSI-M2_H1mm_9774010243,MountingHole,smt
127.4,-94.0,90.0,bottom,J1,,,Hirose_BK13C06-10DP_2x06_P0.35mm,BK13C06-10DP/2-0.35V(895),smt
142.225,-78.775,0.0,bottom,L1,,,L_0402_1005Metric,MLZ1005M1R0WT000,smt
184.75,-107.3,90.0,bottom,L2,,,L_0402_1005Metric,MLZ1005M1R0WT000,smt
188.35,-112.9,-90.0,bottom,R1,,,R_0402_1005Metric,0R,smt
140.99,-77.43,180.0,bottom,R5,,,R_0402_1005Metric,0R,smt
143.87,-76.09,90.0,bottom,U1,,,SOT-23-5,LP2980AIM5X-3.0/NOPB,smt
144.6,-70.6,90.0,bottom,U2,,,bmi088,BMI088,smt
185.8,-110.6375,-90.0,bottom,U3,,,SOT-23-5,LP2980AIM5X-3.0/NOPB,smt
185.4,-117.4,90.0,bottom,U4,,,bmi088,BMI088,smt
